airport,lat,lon
GBH,968.47966667,-149.48991667
GAL,64.73618972,-156.93455472
GAM,63.76661639,-171.73278389
AQY,260.96902222,-149.11934583
KGZ,61.45513444,-142.38095083
GLV,64.55045861,-163.00717194
GNU,859.11786111,-161.57366667
Z40,561.39465000,-149.84226944
GSZ,265.40213333,-161.28147500
KGX,662.89208531,-160.06639689
GKN,262.15433472,-145.45529167
GST,158.42527778,-135.70741667
HNS,59.24383111,-135.52353667
HRR,63.86758333,-148.96883333
HCA,662.18830556,-159.77494444
HOM,459.64554861,-151.47659472
HNH,658.09619917,-135.40875625
HPB,861.52387056,-166.14662278
5HO,860.90725278,-149.62281111
4Z5,62.00723333,-141.18211389
HUS,66.03908333,-154.26469444
HLA,65.69786111,-156.35138889
IGG,159.32404167,-155.90177278
ILI,159.75557811,-154.91775225
4Z9,59.45216056,-151.52238111
JNU,158.35471181,-134.57847053
AFE,56.96136250,-133.91026111
1KC,764.42444722,-156.84333889
KLG,561.53597222,-160.34558333
KAL,64.31898000,-158.74130583
5Z5,63.54098611,-150.99507778
Z90,163.75120556,-150.33026389
KYK,257.56605556,-154.45380556
Z09,860.87333333,-162.52430556
5KS,360.35052083,-151.26285639
RK1,769.67677639,-146.90004583
ENA,160.57327778,-151.24483333
KTN,55.35408333,-131.71122222
ROAD,55.36271667,-131.70911389
IAN,766.97617750,-160.43859917
KVC,55.11638417,-162.26653556
AKN,558.67649347,-156.64869100
IIK,559.93161111,-164.02811111
KVL,767.73613889,-164.56350000
AKW,255.57922222,-133.07600000
OBU,766.91233333,-156.89733333
KDK,57.80591750,-152.37384139
ADQ,257.74979389,-152.49394361
9K2,159.43328611,-154.80259167
JZZ,159.72675000,-157.26025000
DUY,859.96163056,-162.88059306
2A9,563.03058333,-163.53263889
OTZ,766.88480556,-162.59813889
KKA,564.93952778,-161.15427778
KYU,64.87580556,-157.73044444
LKK,558.96500556,-155.09561250
UBW,870.33066667,-149.59805556
KWT,860.79033333,-161.44369444
GGV,859.87568889,-163.16808750
Z55,262.29161806,-146.57735000
2A3,257.53508333,-153.97666667
9Z9,860.41188472,-149.36934167
9Z8,559.12708333,-156.85988889
2AK,161.35913056,-155.44038611
4AK,765.46726944,-148.65374722
15Z,261.43781908,-142.90250300
AK0,61.21887222,-142.89121111
MCG,162.95278500,-155.60705083
INR,163.73259833,-148.91063833
MLY,764.98794444,-150.64758333
MBA,158.93205556,-158.90188889
MDM,661.86416667,-162.02611111
MYK,261.33616111,-142.68588611
MYU,860.37238889,-166.27019444
EWU,860.81040222,-164.49943972
MDO,659.44994361,-146.30724056
MHM,63.88597222,-152.30183333
51Z,765.14816667,-149.36858333
MOU,662.09477778,-163.68286111
IBN,862.40184611,-142.99546806
76Z,58.92760500,-157.04715222
5NK,558.73466286,-157.02521042
KEB,759.35214833,-151.92515583
WNA,860.69033333,-161.97850000
PKA,860.70291250,-161.77830750
OUL,956.00753611,-161.16036722
ENN,564.54730000,-149.07392500
KNW,159.45152778,-157.37316667
IGT,860.46917083,-164.70403750
FSP,163.01855889,-154.35843806
IKO,352.94155556,-168.84902778
NIN,760.02023417,-151.58941861
WTK,767.56116667,-162.98041667
94Z,64.51142228,-165.39023022
OME,64.51255500,-165.44439389
5NN,159.98023028,-154.83917472
D76,766.81752778,-161.02225000
95Z,164.75922222,-147.38763889
ORT,862.96116667,-141.92808333
AQT,970.20983333,-151.00647222
NUL,64.72933333,-158.07422222
16A,860.90600000,-162.44058333
ZNC,60.98103056,-159.99391944
6R7,257.21830556,-153.26983194
Z17,163.14591944,-156.52890833
4K5,257.94215517,-152.46499306
PAQ,461.59491667,-149.08872222
AK1,761.53031528,-149.01763611
PXK,763.02458000,-145.50055083
4K0,159.79694444,-154.12997222
PEV,555.90672361,-159.16082917
PSG,456.80147222,-132.94622222
PNP,557.58038056,-157.57195694
UGB,857.42535806,-157.73986556
0AK,661.96147697,-162.94235461
PTU,859.01783056,-161.82719167
PHO,768.34812872,-166.79912675
PIZ,969.73288889,-163.00533333
A14,158.90652500,-157.71116667
TPO,160.20433333,-154.31887278
05K,360.19848083,-154.32304917
KPC,465.25345556,-166.85762778
PGM,759.34847500,-151.83032222
PTH,556.95910111,-158.63336194
ORI,257.88492500,-152.84757222
PPC,966.81405556,-150.64361111
01A,62.94075556,-152.26960972
20K,65.35471944,-149.76137778
5QC,65.40593306,-164.65572472
AQH,559.75509306,-161.84536556
6AK,62.08414194,-152.71752472
RMP,65.50790000,-150.14083333
RDV,561.78805556,-157.35025000
DGG,568.03211111,-162.89919444
RBY,64.72722222,-155.46988889
RSH,661.77489028,-161.31939872
PBV,656.57736111,-169.66372222
KSM,662.06083083,-163.30183639
SMK,563.49005556,-162.11038889
SNP,657.16630556,-170.22255556
Z81,164.90900972,-165.01471667
SDP,655.31369528,-160.52142472
SVA,63.68627778,-170.49316667
SCM,861.84454167,-165.57375000
WLK,766.60013889,-159.98575000
SOV,859.44390556,-151.70504167
SWD,760.12988586,-149.41662944
