airport,runway,lat,lon,reciprocal,reciprocal_lat,reciprocal_lon
BRW,08,71.28486819,-156.79877686,26,71.28486978,-156.79367281
BRW,26,71.28486978,-156.79367281,08,71.28486819,-156.79877686
BTI,07,70.11310800,-143.67166019,25,70.11311714,-143.63554725
BTI,25,70.11311714,-143.63554725,07,70.11310800,-143.67166019
Z47,16,64.68180556,-165.30000833,34,64.67637500,-165.29839444
Z47,34,64.67637500,-165.29839444,16,64.68180556,-165.30000833
WBQ,05,66.36061558,-147.41928756,23,66.36382253,-147.39371792
WBQ,23,66.36382253,-147.39371792,05,66.36061558,-147.41928756
BLG,01,61.16672222,-151.04968611,19,61.17873889,-151.03613889
BLG,19,61.17873889,-151.03613889,01,61.16672222,-151.04968611
BLG,09,61.17448056,-151.05716111,27,61.17236667,-151.04366667
BLG,27,61.17236667,-151.04366667,09,61.17448056,-151.05716111
BET,01L,60.77176911,-161.84350350,19R,60.78782747,-161.82924853
BET,19R,60.78782747,-161.82924853,01L,60.77176911,-161.84350350
BET,01R,60.77100664,-161.83991692,19L,60.78104206,-161.83100553
BET,19L,60.78104206,-161.83100553,01R,60.77100664,-161.83991692
BET,12,60.78131606,-161.84768067,30,60.77815044,-161.83954989
BET,30,60.77815044,-161.83954989,12,60.78131606,-161.84768067
BTT,02,66.90794111,-151.53869308,20,66.91993578,-151.51939831
BTT,20,66.91993578,-151.51939831,02,66.90794111,-151.53869308
BTT,14W,66.89293611,-151.49698056,32W,66.88195278,-151.49131667
BTT,32W,66.88195278,-151.49131667,14W,66.89293611,-151.49698056
BGQ,07,61.53468406,-149.81956656,25,61.53468183,-149.80553028
BGQ,25,61.53468183,-149.80553028,07,61.53468406,-149.81956656
BGQ,04,61.58944444,-149.81850833,22,61.59091667,-149.81235000
BGQ,22,61.59091667,-149.81235000,04,61.58944444,-149.81850833
Z91,09,61.53267222,-149.70447222,27,61.53311111,-149.69305000
Z91,27,61.53311111,-149.69305000,09,61.53267222,-149.70447222
Z91,05W,61.52896267,-150.01407844,23W,61.53361111,-149.99333333
Z91,23W,61.53361111,-149.99333333,05W,61.52896267,-150.01407844
Z91,07,61.58428056,-149.80693889,25,61.58438333,-149.80060556
Z91,25,61.58438333,-149.80060556,07,61.58428056,-149.80693889
